Gender,Income
Male,4500.0
Female,10500.0
Female,10500.0
Male,22700.0
Female,5982.0
Female,3241.0
Female,3500.0
Female,6000.0
Female,3333.0
Female,17251.0
Male,5600.0
Female,7083.0
Female,4583.0
Male,7500.0
Female,3333.0
Female,5000.0
Female,5500.0
Female,9932.0
Female,5400.0
Female,1666.0
Male,1952.0
Male,7000.0
Male,6832.0
Female,8324.0
Male,3800.0
Female,10300.0
Female,2850.0
Male,14800.0
Male,9300.0
Female,7300.0
Female,5003.0
Female,820.0
Male,10583.0
Male,9583.0
Female,45000.0
Female,16400.0
Female,8500.0
Female,10470.0
Female,404.0
Female,11200.0
Male,5200.0
Male,12500.0
Male,6652.0
Female,3617.0
Male,8330.0
Male,10416.0
Female,3750.0
Female,75000.0
Male,57200.0
Male,8744.0
Male,2400.0
Male,12072.0
Male,6833.0
Female,2840.0
Female,25000.0
Female,9041.0
Male,3000.0
Female,1800.0
Female,3280.0
Male,2666.0
Female,1500.0
Male,4166.0
Female,6000.0
Male,10000.0
Male,8785.0
Male,6166.0
Male,2100.0
Female,3805.0
Male,32000.0
Female,11250.0
Male,13775.0
Female,6667.0
Female,3520.0
Male,6700.0
Male,4300.0
Male,10666.0
Male,3150.0
Male,10833.0
Male,4810.0
Female,8145.0
Male,3000.0
Female,14572.0
Female,6000.0
Female,2800.0
Female,8000.0
Female,10500.0
Male,11288.0
Male,4804.0
Male,10500.0
Male,9750.0
Female,2916.0
Male,9683.0
Female,2600.0
Male,5000.0
Male,3100.0
Female,4583.0
Male,5050.0
Male,4927.0
Female,6500.0
Male,8750.0
Male,2660.0
Female,13097.0
Female,6250.0
Male,2832.0
Male,2785.0
Female,10133.0
Female,4134.0
Female,5000.0
Female,8334.0
Female,9550.0
Female,8500.0
Female,6000.0
Female,7100.0
Male,1325.0
Male,8966.0
Male,24020.0
Female,6000.0
Male,4693.0
Female,3168.0
Male,10428.0
Female,3040.0
Female,29166.0
Male,7500.0
Male,5500.0
Female,4225.0
Male,3279.0
Female,2174.0
Male,17796.0
Female,4801.0
Female,10000.0
Female,7666.0
Female,8798.0
Female,3550.0
Male,3943.0
Female,14294.0
Female,3800.0
Female,7333.0
Female,7800.0
Female,10800.0
Female,6600.0
Female,10200.0
Male,6240.0
Male,1800.0
Female,7000.0
Female,2519.0
Male,2926.0
Male,7083.0
Male,2200.0
Male,1600.0
Male,3084.0
Female,2850.0
Female,8194.0
Female,900.0
Female,10000.0
Male,11650.0
Female,15200.0
Male,19099.0
Female,3250.0
Female,10000.0
Male,7416.0
Male,4500.0
Female,14500.0
Female,6150.0
Male,10500.0
Male,6250.0
Female,24000.0
Male,7800.0
Male,6083.0
Female,11633.0
Female,3025.0
Female,2400.0
Female,2863.0
Female,6225.0
Male,4166.0
Male,4500.0
Female,3542.0
Male,10500.0
Female,4292.0
Female,6500.0
Female,2798.0
Female,8100.0
Female,1920.0
Female,9526.0
Female,6250.0
Female,5300.0
Male,3333.0
Male,7333.0
Female,6687.0
Female,10000.0
Male,5758.0
Male,5000.0
Male,16650.0
Female,10300.0
Female,7650.0
